               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.088286,            0.072087,            0.048749,           0.0012808,            0.019912,          0.00065973,           0.0001613,            0.084304,            0.051803,            0.047482,             0.07014,           0.0033178,           0.0033178
                   1,            0.079964,            0.070305,            0.038396,            0.000915,            0.012441,          0.00051908,          0.00018594,            0.074641,            0.063103,            0.045627,            0.040118,           0.0066291,           0.0066291
                   2,            0.070975,            0.067255,            0.032393,            0.015973,             0.25798,            0.038164,            0.016611,            0.069623,            0.055152,            0.039147,            0.010074,           0.0099185,           0.0099185
                   3,            0.063611,            0.061584,            0.025062,            0.093155,             0.17827,            0.036684,           0.0088975,            0.065506,            0.062197,            0.037381,            0.009901,            0.009901,            0.009901
                   4,            0.057992,            0.056454,            0.017968,             0.27409,              0.1714,            0.076204,            0.022353,            0.065538,            0.067277,            0.047905,            0.009901,            0.009901,            0.009901
                   5,             0.05441,            0.052676,            0.012678,            0.096584,             0.12051,            0.074561,             0.02326,            0.062181,            0.070138,            0.041231,            0.009868,            0.009868,            0.009868
                   6,             0.05108,            0.049683,           0.0096831,             0.54362,             0.17875,             0.15384,            0.050063,            0.064457,            0.068143,            0.038561,            0.009835,            0.009835,            0.009835
                   7,            0.049159,            0.046828,           0.0079172,             0.36201,              0.1916,             0.15124,            0.054866,            0.066138,            0.073318,            0.042618,            0.009802,            0.009802,            0.009802
                   8,            0.046986,            0.044726,           0.0066843,            0.070206,            0.054467,             0.03968,           0.0078659,            0.068873,            0.081789,            0.048788,            0.009769,            0.009769,            0.009769
                   9,            0.045539,            0.043441,           0.0059858,              0.3035,             0.14947,              0.1053,            0.035219,            0.067379,            0.087265,            0.046528,            0.009736,            0.009736,            0.009736
                  10,            0.043984,            0.041662,           0.0053668,             0.11746,            0.042679,            0.023447,           0.0059102,            0.066575,            0.081762,            0.047075,            0.009703,            0.009703,            0.009703
                  11,            0.042496,            0.040545,           0.0048233,            0.098731,            0.059737,            0.050349,            0.013562,            0.067228,            0.090411,            0.048945,             0.00967,             0.00967,             0.00967
                  12,            0.041616,            0.039676,           0.0046349,             0.10823,             0.11916,            0.075289,            0.021072,            0.065415,            0.091788,            0.044468,            0.009637,            0.009637,            0.009637
                  13,            0.040942,            0.038914,           0.0044645,             0.27436,            0.043959,            0.038231,            0.010128,            0.065198,             0.10004,               0.051,            0.009604,            0.009604,            0.009604
                  14,            0.039862,             0.03828,           0.0040168,             0.16026,             0.05945,             0.12935,            0.031589,            0.065386,            0.098543,            0.042029,            0.009571,            0.009571,            0.009571
                  15,            0.039142,            0.036976,           0.0039307,             0.15541,            0.065696,            0.099549,            0.018194,            0.066398,             0.10558,            0.055785,            0.009538,            0.009538,            0.009538
                  16,            0.038168,            0.036718,           0.0038258,             0.29498,            0.045007,            0.035784,            0.010238,            0.067021,             0.10298,             0.04968,            0.009505,            0.009505,            0.009505
                  17,            0.037831,            0.035647,           0.0036477,             0.43533,              0.0301,            0.018856,           0.0047231,            0.068498,             0.10244,            0.045506,            0.009472,            0.009472,            0.009472
                  18,            0.037062,            0.035174,            0.003558,             0.29724,            0.084255,            0.066633,            0.014272,            0.066963,              0.1062,            0.052524,            0.009439,            0.009439,            0.009439
                  19,            0.036476,            0.033891,           0.0034229,             0.46652,             0.05639,            0.089653,            0.023996,            0.067084,             0.10705,            0.053173,            0.009406,            0.009406,            0.009406
                  20,            0.035223,            0.034013,           0.0033027,             0.11734,             0.05261,            0.058744,            0.012506,            0.067349,             0.11702,            0.059612,            0.009373,            0.009373,            0.009373
                  21,            0.035487,            0.033707,           0.0032348,             0.37622,             0.17231,             0.15634,            0.035718,            0.067028,             0.10562,            0.051271,             0.00934,             0.00934,             0.00934
                  22,            0.034632,            0.033339,           0.0030404,             0.35329,             0.17107,              0.1528,            0.034319,            0.067405,             0.11134,            0.056741,            0.009307,            0.009307,            0.009307
                  23,            0.034837,            0.032712,           0.0030139,             0.32211,            0.083036,            0.076716,            0.014682,            0.067704,             0.10958,            0.053632,            0.009274,            0.009274,            0.009274
                  24,            0.034134,            0.031941,            0.002996,            0.037262,             0.20943,             0.10306,            0.018382,            0.067595,             0.11476,            0.055759,            0.009241,            0.009241,            0.009241
                  25,            0.033401,            0.032075,            0.002904,             0.36123,             0.10241,             0.15022,            0.044648,            0.067066,              0.1045,             0.05119,            0.009208,            0.009208,            0.009208
                  26,            0.032801,            0.030784,           0.0028412,             0.35136,             0.16797,             0.15189,            0.029742,            0.068007,             0.10558,             0.05452,            0.009175,            0.009175,            0.009175
                  27,            0.032206,            0.030992,           0.0027049,             0.39106,             0.17894,             0.17703,             0.04008,            0.069127,             0.10819,            0.054741,            0.009142,            0.009142,            0.009142
                  28,            0.032614,             0.03092,           0.0027621,             0.49932,             0.14056,             0.12371,            0.016839,            0.069649,             0.11489,            0.058407,            0.009109,            0.009109,            0.009109
                  29,            0.032191,            0.030636,           0.0026401,             0.29103,             0.15122,            0.083069,            0.013705,            0.067214,             0.11618,            0.054833,            0.009076,            0.009076,            0.009076
                  30,              0.0318,            0.030433,           0.0025813,             0.36808,             0.14198,              0.1567,            0.025907,            0.067048,             0.11666,            0.056868,            0.009043,            0.009043,            0.009043
