               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.087717,            0.070288,                   0,            0.015352,              0.1481,            0.011399,           0.0024251,             0.08231,            0.062114,                   0,            0.070115,           0.0033206,           0.0033206
                   1,            0.078735,             0.07282,                   0,          0.00064815,           0.0064052,          0.00032619,          6.6442e-05,            0.076868,            0.079648,                   0,            0.040093,           0.0066319,           0.0066319
                   2,            0.066971,            0.065165,                   0,             0.17463,              0.2481,             0.10292,             0.02786,            0.060945,            0.066222,                   0,            0.010049,           0.0099213,           0.0099213
                   3,            0.058778,            0.059184,                   0,             0.40537,             0.35467,             0.33412,             0.10536,            0.057124,            0.059352,                   0,            0.009901,            0.009901,            0.009901
                   4,            0.053354,            0.053857,                   0,             0.45186,             0.39785,             0.39714,              0.1388,            0.053168,            0.065079,                   0,            0.009901,            0.009901,            0.009901
                   5,             0.04943,            0.049223,                   0,             0.49949,             0.34431,             0.35641,             0.12225,            0.054251,            0.070901,                   0,            0.009868,            0.009868,            0.009868
                   6,            0.047018,             0.04667,                   0,             0.51721,             0.46418,             0.46242,             0.17239,            0.052793,            0.060015,                   0,            0.009835,            0.009835,            0.009835
                   7,             0.04479,            0.043771,                   0,             0.55833,             0.42052,             0.46371,              0.1892,            0.050684,            0.066391,                   0,            0.009802,            0.009802,            0.009802
                   8,            0.042609,            0.041667,                   0,             0.56896,             0.47046,             0.53009,              0.2372,            0.049978,            0.061016,                   0,            0.009769,            0.009769,            0.009769
                   9,              0.0416,            0.040085,                   0,             0.57445,             0.44222,             0.50003,             0.20932,            0.051669,            0.069077,                   0,            0.009736,            0.009736,            0.009736
                  10,            0.039918,            0.039123,                   0,             0.65776,             0.43865,             0.55544,             0.25739,            0.049196,            0.066629,                   0,            0.009703,            0.009703,            0.009703
                  11,            0.039266,            0.038082,                   0,             0.61659,             0.51908,             0.56386,             0.25093,            0.048853,            0.063039,                   0,             0.00967,             0.00967,             0.00967
                  12,            0.038013,            0.037237,                   0,             0.61193,              0.4698,             0.52534,             0.25498,            0.047616,            0.073536,                   0,            0.009637,            0.009637,            0.009637
                  13,            0.036888,            0.035617,                   0,             0.62831,             0.50734,             0.56422,             0.27131,            0.048223,            0.065697,                   0,            0.009604,            0.009604,            0.009604
                  14,            0.036699,            0.034739,                   0,             0.64573,             0.50915,             0.59087,             0.29008,             0.04723,            0.068657,                   0,            0.009571,            0.009571,            0.009571
                  15,             0.03554,            0.033998,                   0,             0.68492,             0.46013,             0.54848,             0.26802,            0.048587,            0.074855,                   0,            0.009538,            0.009538,            0.009538
                  16,            0.035151,            0.033939,                   0,             0.66423,             0.50719,             0.58972,             0.28501,            0.047202,            0.068915,                   0,            0.009505,            0.009505,            0.009505
                  17,            0.034161,            0.033234,                   0,             0.70092,             0.46523,             0.56602,             0.28308,            0.047158,            0.076285,                   0,            0.009472,            0.009472,            0.009472
                  18,            0.033816,            0.032486,                   0,             0.68518,             0.47072,             0.55815,             0.27423,             0.04797,            0.076565,                   0,            0.009439,            0.009439,            0.009439
                  19,            0.033082,            0.032052,                   0,             0.70881,             0.50235,             0.59229,             0.29889,            0.048324,            0.071705,                   0,            0.009406,            0.009406,            0.009406
                  20,            0.032636,            0.030865,                   0,             0.69373,             0.54379,             0.62644,             0.29704,            0.048146,            0.070518,                   0,            0.009373,            0.009373,            0.009373
                  21,            0.032492,            0.031375,                   0,             0.70444,              0.5102,             0.60189,             0.29009,            0.048435,            0.069454,                   0,             0.00934,             0.00934,             0.00934
                  22,            0.031905,            0.030658,                   0,             0.71354,             0.46144,              0.5603,             0.27029,            0.048349,            0.079796,                   0,            0.009307,            0.009307,            0.009307
                  23,             0.03153,            0.030174,                   0,             0.74823,             0.47346,             0.58858,             0.29668,            0.046663,             0.07689,                   0,            0.009274,            0.009274,            0.009274
